==> 1130:  POP AF              PC:1131 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c5 f5]
==> 1131:  PUSH BC             PC:1132 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c5 f5 fe]
==> 1132:  PUSH AF             PC:1133 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [f5 fe 09]
==> 1133:  CP A, 09h           PC:1135 AF:4d0a BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00001010 [fe 09 c2]
==> 1135:  JP NZ, 1148h        PC:1148 AF:4d0a BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00001010 [c2 48 11]
==> 1148:  CP A, 20h           PC:114a AF:4d22 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [fe 20 da]
==> 114a:  JP C, 115ch         PC:114d AF:4d22 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [da 5c 11]
==> 114d:  LD A, (0727h)       PC:1150 AF:4822 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a 27 07]
==> 1150:  LD B, A             PC:1151 AF:4822 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [47 3a cf]
==> 1151:  LD A, (09cfh)       PC:1154 AF:0422 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a cf 09]
==> 1154:  CP A, B             PC:1155 AF:049b BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [b8 cc e8]
==> 1155:  CALL Z, 17e8h       PC:1158 AF:049b BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [cc e8 17]
==> 1158:  INC A               PC:1159 AF:0501 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [3c 32 cf]
==> 1159:  LD (09cfh), A       PC:115c AF:0501 BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [32 cf 09]
==> 115c:  POP AF              PC:115d AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f1 c1 f5]
==> 115d:  POP BC              PC:115e AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [c1 f5 f1]
==> 115e:  PUSH AF             PC:115f AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 f1 f5]
==> 115f:  POP AF              PC:1160 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 f5 c5]
==> 1160:  PUSH AF             PC:1161 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 c5 d5]
==> 1161:  PUSH BC             PC:1162 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [c5 d5 0e]
==> 1162:  PUSH DE             PC:1163 AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [d5 0e 02]
==> 1163:  LD C, 02h           PC:1165 AF:4d2a BC:4802 DE:2d6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [0e 02 4f]
==> 1165:  LD C, A             PC:1166 AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [4f e5 cd]
==> 1166:  PUSH HL             PC:1167 AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [e5 cd 84]
==> 1167:  CALL ff84h          PC:ff84 AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f78d IX:0000 IY:0000 Flags:00101010 [cd 84 ff]
M==> ff84:  RET                 PC:116a AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [c9 c9 c9]
==> 116a:  POP HL              PC:116b AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [e1 d1 c1]
==> 116b:  POP DE              PC:116c AF:4d2a BC:484d DE:2d6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [d1 c1 f1]
==> 116c:  POP BC              PC:116d AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c1 f1 c9]
==> 116d:  POP AF              PC:116e AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c9 e5]
==> 116e:  RET                 PC:228c AF:4d2a BC:4892 DE:2d6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c9 e5 2a]
==> 228c:  CP A, 0dh           PC:228e AF:4d0a BC:4892 DE:2d6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00001010 [fe 0d cc]
==> 228e:  CALL Z, 17f2h       PC:2291 AF:4d0a BC:4892 DE:2d6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00001010 [cc f2 17]
==> 2291:  INC BC              PC:2292 AF:4d0a BC:4893 DE:2d6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00001010 [03 c3 86]
==> 2292:  JP 2286h            PC:2286 AF:4d0a BC:4893 DE:2d6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00001010 [c3 86 22]
==> 2286:  DEC D               PC:2287 AF:4d2a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [15 c8 0a]
==> 2287:  RET Z               PC:2288 AF:4d2a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c8 0a cd]
==> 2288:  LD A, (BC)          PC:2289 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [0a cd c5]
==> 2289:  CALL 10c5h          PC:10c5 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [cd c5 10]
==> 10c5:  PUSH AF             PC:10c6 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 e5 2a]
==> 10c6:  PUSH HL             PC:10c7 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [e5 2a 35]
==> 10c7:  LD HL, (0735h)      PC:10ca AF:202a BC:4893 DE:2c6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [2a 35 07]
==> 10ca:  LD A, H             PC:10cb AF:002a BC:4893 DE:2c6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [7c b5 c2]
==> 10cb:  OR A, L             PC:10cc AF:0044 BC:4893 DE:2c6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [b5 c2 14]
==> 10cc:  JP NZ, 2e14h        PC:10cf AF:0044 BC:4893 DE:2c6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [c2 14 2e]
==> 10cf:  POP HL              PC:10d0 AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [e1 3a 26]
==> 10d0:  LD A, (0726h)       PC:10d3 AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 26 07]
==> 10d3:  OR A, A             PC:10d4 AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 ca 29]
==> 10d4:  JP Z, 1129h         PC:1129 AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [ca 29 11]
==> 1129:  LD A, (072ah)       PC:112c AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 2a 07]
==> 112c:  OR A, A             PC:112d AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 c2 b1]
==> 112d:  JP NZ, 22b1h        PC:1130 AF:0044 BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [c2 b1 22]
==> 1130:  POP AF              PC:1131 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c5 f5]
==> 1131:  PUSH BC             PC:1132 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c5 f5 fe]
==> 1132:  PUSH AF             PC:1133 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [f5 fe 09]
==> 1133:  CP A, 09h           PC:1135 AF:201a BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [fe 09 c2]
==> 1135:  JP NZ, 1148h        PC:1148 AF:201a BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [c2 48 11]
==> 1148:  CP A, 20h           PC:114a AF:2062 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:01100010 [fe 20 da]
==> 114a:  JP C, 115ch         PC:114d AF:2062 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:01100010 [da 5c 11]
==> 114d:  LD A, (0727h)       PC:1150 AF:4862 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:01100010 [3a 27 07]
==> 1150:  LD B, A             PC:1151 AF:4862 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:01100010 [47 3a cf]
==> 1151:  LD A, (09cfh)       PC:1154 AF:0562 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:01100010 [3a cf 09]
==> 1154:  CP A, B             PC:1155 AF:059b BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [b8 cc e8]
==> 1155:  CALL Z, 17e8h       PC:1158 AF:059b BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [cc e8 17]
==> 1158:  INC A               PC:1159 AF:0601 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [3c 32 cf]
==> 1159:  LD (09cfh), A       PC:115c AF:0601 BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [32 cf 09]
==> 115c:  POP AF              PC:115d AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f1 c1 f5]
==> 115d:  POP BC              PC:115e AF:202a BC:4893 DE:2c6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [c1 f5 f1]
==> 115e:  PUSH AF             PC:115f AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 f1 f5]
==> 115f:  POP AF              PC:1160 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 f5 c5]
==> 1160:  PUSH AF             PC:1161 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 c5 d5]
==> 1161:  PUSH BC             PC:1162 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [c5 d5 0e]
==> 1162:  PUSH DE             PC:1163 AF:202a BC:4893 DE:2c6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [d5 0e 02]
==> 1163:  LD C, 02h           PC:1165 AF:202a BC:4802 DE:2c6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [0e 02 4f]
==> 1165:  LD C, A             PC:1166 AF:202a BC:4820 DE:2c6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [4f e5 cd]
==> 1166:  PUSH HL             PC:1167 AF:202a BC:4820 DE:2c6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [e5 cd 84]
==> 1167:  CALL ff84h          PC:ff84 AF:202a BC:4820 DE:2c6f HL:09e7 SP:f78d IX:0000 IY:0000 Flags:00101010 [cd 84 ff]
 ==> ff84:  RET                 PC:116a AF:202a BC:4820 DE:2c6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [c9 c9 c9]
==> 116a:  POP HL              PC:116b AF:202a BC:4820 DE:2c6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [e1 d1 c1]
==> 116b:  POP DE              PC:116c AF:202a BC:4820 DE:2c6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [d1 c1 f1]
==> 116c:  POP BC              PC:116d AF:202a BC:4893 DE:2c6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c1 f1 c9]
==> 116d:  POP AF              PC:116e AF:202a BC:4893 DE:2c6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c9 e5]
==> 116e:  RET                 PC:228c AF:202a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c9 e5 2a]
==> 228c:  CP A, 0dh           PC:228e AF:201a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [fe 0d cc]
==> 228e:  CALL Z, 17f2h       PC:2291 AF:201a BC:4893 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [cc f2 17]
==> 2291:  INC BC              PC:2292 AF:201a BC:4894 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [03 c3 86]
==> 2292:  JP 2286h            PC:2286 AF:201a BC:4894 DE:2c6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [c3 86 22]
==> 2286:  DEC D               PC:2287 AF:202a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [15 c8 0a]
==> 2287:  RET Z               PC:2288 AF:202a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c8 0a cd]
==> 2288:  LD A, (BC)          PC:2289 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [0a cd c5]
==> 2289:  CALL 10c5h          PC:10c5 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [cd c5 10]
==> 10c5:  PUSH AF             PC:10c6 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 e5 2a]
==> 10c6:  PUSH HL             PC:10c7 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [e5 2a 35]
==> 10c7:  LD HL, (0735h)      PC:10ca AF:562a BC:4894 DE:2b6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [2a 35 07]
==> 10ca:  LD A, H             PC:10cb AF:002a BC:4894 DE:2b6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [7c b5 c2]
==> 10cb:  OR A, L             PC:10cc AF:0044 BC:4894 DE:2b6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [b5 c2 14]
==> 10cc:  JP NZ, 2e14h        PC:10cf AF:0044 BC:4894 DE:2b6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [c2 14 2e]
==> 10cf:  POP HL              PC:10d0 AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [e1 3a 26]
==> 10d0:  LD A, (0726h)       PC:10d3 AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 26 07]
==> 10d3:  OR A, A             PC:10d4 AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 ca 29]
==> 10d4:  JP Z, 1129h         PC:1129 AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [ca 29 11]
==> 1129:  LD A, (072ah)       PC:112c AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 2a 07]
==> 112c:  OR A, A             PC:112d AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 c2 b1]
==> 112d:  JP NZ, 22b1h        PC:1130 AF:0044 BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [c2 b1 22]
==> 1130:  POP AF              PC:1131 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c5 f5]
==> 1131:  PUSH BC             PC:1132 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c5 f5 fe]
==> 1132:  PUSH AF             PC:1133 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [f5 fe 09]
==> 1133:  CP A, 09h           PC:1135 AF:561a BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [fe 09 c2]
==> 1135:  JP NZ, 1148h        PC:1148 AF:561a BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [c2 48 11]
==> 1148:  CP A, 20h           PC:114a AF:5622 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [fe 20 da]
==> 114a:  JP C, 115ch         PC:114d AF:5622 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [da 5c 11]
==> 114d:  LD A, (0727h)       PC:1150 AF:4822 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a 27 07]
==> 1150:  LD B, A             PC:1151 AF:4822 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [47 3a cf]
==> 1151:  LD A, (09cfh)       PC:1154 AF:0622 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a cf 09]
==> 1154:  CP A, B             PC:1155 AF:069b BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [b8 cc e8]
==> 1155:  CALL Z, 17e8h       PC:1158 AF:069b BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [cc e8 17]
==> 1158:  INC A               PC:1159 AF:0701 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [3c 32 cf]
==> 1159:  LD (09cfh), A       PC:115c AF:0701 BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00000001 [32 cf 09]
==> 115c:  POP AF              PC:115d AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f1 c1 f5]
==> 115d:  POP BC              PC:115e AF:562a BC:4894 DE:2b6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [c1 f5 f1]
==> 115e:  PUSH AF             PC:115f AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 f1 f5]
==> 115f:  POP AF              PC:1160 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 f5 c5]
==> 1160:  PUSH AF             PC:1161 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 c5 d5]
==> 1161:  PUSH BC             PC:1162 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [c5 d5 0e]
==> 1162:  PUSH DE             PC:1163 AF:562a BC:4894 DE:2b6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [d5 0e 02]
==> 1163:  LD C, 02h           PC:1165 AF:562a BC:4802 DE:2b6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [0e 02 4f]
==> 1165:  LD C, A             PC:1166 AF:562a BC:4856 DE:2b6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [4f e5 cd]
==> 1166:  PUSH HL             PC:1167 AF:562a BC:4856 DE:2b6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [e5 cd 84]
==> 1167:  CALL ff84h          PC:ff84 AF:562a BC:4856 DE:2b6f HL:09e7 SP:f78d IX:0000 IY:0000 Flags:00101010 [cd 84 ff]
V==> ff84:  RET                 PC:116a AF:562a BC:4856 DE:2b6f HL:09e7 SP:f78f IX:0000 IY:0000 Flags:00101010 [c9 c9 c9]
==> 116a:  POP HL              PC:116b AF:562a BC:4856 DE:2b6f HL:09e7 SP:f791 IX:0000 IY:0000 Flags:00101010 [e1 d1 c1]
==> 116b:  POP DE              PC:116c AF:562a BC:4856 DE:2b6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [d1 c1 f1]
==> 116c:  POP BC              PC:116d AF:562a BC:4894 DE:2b6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c1 f1 c9]
==> 116d:  POP AF              PC:116e AF:562a BC:4894 DE:2b6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c9 e5]
==> 116e:  RET                 PC:228c AF:562a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c9 e5 2a]
==> 228c:  CP A, 0dh           PC:228e AF:561a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [fe 0d cc]
==> 228e:  CALL Z, 17f2h       PC:2291 AF:561a BC:4894 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [cc f2 17]
==> 2291:  INC BC              PC:2292 AF:561a BC:4895 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [03 c3 86]
==> 2292:  JP 2286h            PC:2286 AF:561a BC:4895 DE:2b6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00011010 [c3 86 22]
==> 2286:  DEC D               PC:2287 AF:562a BC:4895 DE:2a6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [15 c8 0a]
==> 2287:  RET Z               PC:2288 AF:562a BC:4895 DE:2a6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [c8 0a cd]
==> 2288:  LD A, (BC)          PC:2289 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f799 IX:0000 IY:0000 Flags:00101010 [0a cd c5]
==> 2289:  CALL 10c5h          PC:10c5 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [cd c5 10]
==> 10c5:  PUSH AF             PC:10c6 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [f5 e5 2a]
==> 10c6:  PUSH HL             PC:10c7 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [e5 2a 35]
==> 10c7:  LD HL, (0735h)      PC:10ca AF:652a BC:4895 DE:2a6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [2a 35 07]
==> 10ca:  LD A, H             PC:10cb AF:002a BC:4895 DE:2a6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:00101010 [7c b5 c2]
==> 10cb:  OR A, L             PC:10cc AF:0044 BC:4895 DE:2a6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [b5 c2 14]
==> 10cc:  JP NZ, 2e14h        PC:10cf AF:0044 BC:4895 DE:2a6f HL:0000 SP:f793 IX:0000 IY:0000 Flags:01000100 [c2 14 2e]
==> 10cf:  POP HL              PC:10d0 AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [e1 3a 26]
==> 10d0:  LD A, (0726h)       PC:10d3 AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 26 07]
==> 10d3:  OR A, A             PC:10d4 AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 ca 29]
==> 10d4:  JP Z, 1129h         PC:1129 AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [ca 29 11]
==> 1129:  LD A, (072ah)       PC:112c AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [3a 2a 07]
==> 112c:  OR A, A             PC:112d AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [b7 c2 b1]
==> 112d:  JP NZ, 22b1h        PC:1130 AF:0044 BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:01000100 [c2 b1 22]
==> 1130:  POP AF              PC:1131 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f797 IX:0000 IY:0000 Flags:00101010 [f1 c5 f5]
==> 1131:  PUSH BC             PC:1132 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f795 IX:0000 IY:0000 Flags:00101010 [c5 f5 fe]
==> 1132:  PUSH AF             PC:1133 AF:652a BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00101010 [f5 fe 09]
==> 1133:  CP A, 09h           PC:1135 AF:651a BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [fe 09 c2]
==> 1135:  JP NZ, 1148h        PC:1148 AF:651a BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00011010 [c2 48 11]
==> 1148:  CP A, 20h           PC:114a AF:6522 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [fe 20 da]
==> 114a:  JP C, 115ch         PC:114d AF:6522 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [da 5c 11]
==> 114d:  LD A, (0727h)       PC:1150 AF:4822 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a 27 07]
==> 1150:  LD B, A             PC:1151 AF:4822 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [47 3a cf]
==> 1151:  LD A, (09cfh)       PC:1154 AF:0722 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00100010 [3a cf 09]
==> 1154:  CP A, B             PC:1155 AF:079b BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [b8 cc e8]
==> 1155:  CALL Z, 17e8h       PC:1158 AF:079b BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:10011011 [cc e8 17]
==> 1158:  INC A               PC:1159 AF:0809 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00001001 [3c 32 cf]
==> 1159:  LD (09cfh), A       PC:115c AF:0809 BC:4895 DE:2a6f HL:09e7 SP:f793 IX:0000 IY:0000 Flags:00001001 [32 cf 09]
